graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,mean_over_dag,validity_note_summary
image_classification_tosa,tflite-graphs,125,0.5,ccpso,6293.947361492907,6158.729103590229,5832.833467395911,7237.72310588568,5932.985030405688,6713.308197262138,6293.947361492907,10,0,0,1.0,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,clpso,6293.947361492907,6158.729103590229,5832.833467395911,7237.72310588568,5932.985030405688,6713.308197262138,6293.947361492907,10,0,0,1.0,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,dbpso,6293.947361492907,6158.729103590229,5832.833467395911,7237.72310588568,5932.985030405688,6713.308197262138,6293.947361492907,10,0,0,1.0,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,diff_gnn_order,3061.401874654112,3061.401874654112,3061.401874654112,3061.401874654112,3061.401874654112,3061.401874654112,2808.2106490666683,1,0,0,1.0901610517258005,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,esa,6293.947361492907,6158.729103590229,5832.833467395911,7237.72310588568,5932.985030405688,6713.308197262138,6293.947361492907,10,0,0,1.0,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,gcps,6519.840570100629,6494.2280972128565,5457.041601652214,7533.1560040305885,5705.05605973086,7293.5952985581725,4803.824509253029,10,0,0,1.357218723861008,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,gl25,3950.91483285195,3916.6707190334273,3309.3579073116125,4448.097528851858,3754.6988168462726,4401.337596033374,3696.1387177127303,10,0,0,1.0689303445020273,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,greedy,7558.284450793921,7442.691925586165,6459.858130108229,8632.785196938186,6613.127050087083,8527.14531756617,4747.274871640109,10,0,0,1.5921312026709444,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,jade,6248.702535090802,6158.729103590229,5832.833467395911,7237.72310588568,5932.985030405688,6599.740266836637,6141.1165271087,10,0,0,1.017518965404285,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,mip,7548.375217380158,7237.916299654528,6459.858130108229,8632.785196938186,6596.097170089433,8538.88308194084,6142.074955698599,9,0,9,1.2289617550786802,Invalid before post-processing; repaired with benefit_per_area greedy fixing to satisfy the area constraint.
image_classification_tosa,tflite-graphs,125,0.5,pso,5975.608667674972,5838.1563917611375,5680.570419118529,6734.1865773653735,5710.567193939144,6325.126039726627,5962.981499333914,10,0,0,1.0021175930769646,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,random,7634.369928510927,7742.308084661747,5986.841615408454,8607.082174272287,6839.550008541394,8318.332803595362,5394.454941837298,10,0,0,1.4152254511019673,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,shade,6293.947361492907,6158.729103590229,5832.833467395911,7237.72310588568,5932.985030405688,6713.308197262138,6293.947361492907,10,0,0,1.0,Valid solution; no area repair needed.
