graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,num_timeout_runs,num_failed_runs,mean_over_dag,validity_note_summary
rez_net_tosa,pytorch-graphs,362,0.5,ccpso,18287.06539075243,18363.352712558986,17487.262972229797,18889.746102382764,17690.679760564184,18806.662289886764,18287.06539075243,10,0,0,0,0,1.0,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,clpso,18287.06539075243,18363.352712558986,17487.262972229797,18889.746102382764,17690.679760564184,18806.662289886764,18287.06539075243,10,0,0,0,0,1.0,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,dbpso,18287.06539075243,18363.352712558986,17487.262972229797,18889.746102382764,17690.679760564184,18806.662289886764,18287.06539075243,10,0,0,0,0,1.0,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,esa,18287.06539075243,18363.352712558986,17487.262972229797,18889.746102382764,17690.679760564184,18806.662289886764,18287.06539075243,10,0,0,0,0,1.0,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,gcps,17582.97360717883,17597.795688047587,15530.635665075228,19066.5344069158,16356.494164326221,18975.49144249483,13621.843833562893,10,0,0,0,0,1.2907924816944458,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,gl25,14652.413535395997,14573.106716381044,13062.16335228972,16100.753469681256,13714.781384012635,15943.822036042142,12291.440513597065,10,0,0,0,0,1.192082695204616,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,greedy,21803.940225274677,21687.064922943428,19880.599701807,23525.1366496158,20177.603135001616,23466.3209443098,10951.138294760856,10,0,0,0,0,1.9910204435739725,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,jade,18287.06539075243,18363.352712558986,17487.262972229797,18889.746102382764,17690.679760564184,18806.662289886764,18287.06539075243,10,0,0,0,0,1.0,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,mip,9218.733613834494,9161.5990266599,8373.751549580802,10328.863089190878,8684.612233135764,9794.09093329471,18287.06539075243,10,0,0,0,0,0.5041122463802371,Valid incumbent solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,pso,17813.667380109495,17738.991676055288,17002.127483000866,18443.55594411034,17327.888089558342,18396.84354170897,17509.44725362879,10,0,0,0,0,1.017374627655231,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,random,18287.06539075243,18363.352712558986,17487.262972229797,18889.746102382764,17690.679760564184,18806.662289886764,18287.06539075243,10,0,0,0,0,1.0,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,shade,18287.06539075243,18363.352712558986,17487.262972229797,18889.746102382764,17690.679760564184,18806.662289886764,18287.06539075243,10,0,0,0,0,1.0,Valid solution; no area repair needed.
